,home_won
291548,1
365960,1
106244,1
32523,1
372194,0
411312,1
22707,0
368225,0
367616,1
204,0
369232,0
409607,1
292368,0
281839,0
416825,0
41600,1
254741,1
286246,1
114199,0
15881,1
126369,1
79651,0
11804,1
372579,1
308725,0
241364,0
78643,1
219786,1
26287,1
49628,1
114642,0
382259,1
211185,1
157986,1
382891,0
376966,0
275028,1
312790,1
317878,1
343294,0
101581,0
160391,0
411744,0
371409,1
303524,1
202013,1
253625,0
53783,1
210063,0
190984,1
159843,1
189882,1
415844,0
147589,1
41889,1
204714,0
409158,0
373972,1
61319,1
409643,1
54601,0
149567,0
90809,1
144705,0
151496,1
222162,0
167557,0
251575,0
253647,1
404579,1
230129,0
119006,0
105880,0
162561,1
156301,1
141148,0
9403,0
129942,1
289630,0
174261,0
168093,1
78626,1
117205,1
272314,1
337106,1
117892,0
366130,0
322818,0
19477,1
274788,1
162429,0
360670,0
139832,0
308928,0
32187,1
295650,0
57484,1
234612,1
190110,1
214106,1
54755,1
43584,1
86948,0
307245,0
53283,1
157584,1
15457,1
290667,1
208027,0
58647,1
321415,1
223168,0
346108,1
210916,1
361266,0
197792,0
414472,0
383018,0
337249,0
19677,0
24827,1
416469,1
5482,1
273370,1
76898,0
361061,1
174431,1
273248,1
347312,0
334565,1
401897,0
177741,0
101477,1
356034,1
343647,1
410975,1
292565,1
335132,1
18211,1
351336,1
399464,0
90106,1
267172,1
401553,0
219674,0
360764,0
259842,1
327427,0
267148,1
9576,0
147391,1
97867,0
373983,1
312913,1
247225,1
338278,0
171462,1
60387,1
193181,0
296120,0
122149,1
218654,0
172730,1
302400,0
258483,1
398169,1
381755,0
6881,0
124781,0
256301,0
414701,1
174779,1
61673,0
419219,1
233975,1
207079,1
15606,1
190595,0
241605,0
124053,1
9751,1
334790,1
187340,1
91693,0
4321,1
155313,1
26597,0
2760,0
345376,0
245339,1
245167,0
268321,1
282790,1
358400,1
352579,1
29998,1
232249,1
214285,1
388322,1
279367,0
137502,1
148824,0
197861,1
372235,1
173307,1
59638,1
272737,0
390864,0
412864,1
327688,0
304565,0
209692,1
161655,1
145912,0
256439,0
170642,1
137043,1
213930,1
405623,0
25865,1
90410,0
340670,1
383297,1
92637,1
280760,0
352252,0
27766,1
103814,1
31382,0
366916,0
351235,1
183492,0
369594,1
33337,1
251827,0
174033,0
304492,0
207698,1
252566,0
189638,1
120107,1
56552,1
35731,0
209826,1
373148,0
251,0
56803,1
338707,1
312986,1
306987,1
102159,1
51257,0
23516,0
33235,1
221310,0
994,0
226554,1
243765,1
125310,1
268432,1
143913,0
337475,0
309273,0
202501,0
220640,0
40204,1
141061,0
1924,1
348422,0
411846,0
60084,1
378353,0
11327,1
101802,0
32487,1
7809,1
176211,0
225290,0
133060,0
416630,1
239602,1
358750,0
319582,1
351297,1
402927,1
246288,1
324700,1
318059,0
271052,0
403705,0
